-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 250.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  500 nodes
   Temperature:                                         443.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        301.2391 g/mol
   Mass density:                                          0.9903 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                             1000           steps
   Output computes every:                                   5000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                  10000000 iterations
   Andersen_after_iter:                                     1000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                        Simpson rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   339.000000000 monomers
   Chain characteristic ratio C_infinity:                 2.2965
   Bond length:                                           7.9640 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   315.000000000 monomers
   Chain characteristic ratio C_infinity:                 1.7883
   Bond length:                                           7.9640 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                            339.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=0
   mxa boundary condition for hi edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for lo edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for hi edge:                 Dirichlet q=0
   Critical lo position of adsorbed segs             0.000000000 Angstrom
   Critical hi position of adsorbed segs             0.000000000 Angstrom
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                             0.041610000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   Side of the solid wall:                             lo and hi
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
   fh_nr:                                                      5
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                              90.7167 Angstrom
   mxa nodes along chain contour:                             68 nodes
   mxb radious of gyration:                              77.1668 Angstrom
   mxb nodes along chain contour:                             64 nodes
   molar density in bulk                               3287.4216 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
           280000    0.1558262E+01    0.3889634E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           281000    0.1558262E+01    0.3889622E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           282000    0.1558262E+01    0.3880668E-07    0.0000000E+00    0.0000000E+00    0.4973315E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           283000    0.1558262E+01    0.3869256E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           284000    0.1558262E+01    0.3849361E-07    0.0000000E+00    0.0000000E+00    0.4973315E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           285000    0.1558262E+01    0.3822984E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           286000    0.1558262E+01    0.3844606E-07    0.0000000E+00    0.0000000E+00    0.4973314E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           287000    0.1558262E+01    0.3779725E-07    0.0000000E+00    0.0000000E+00    0.4973310E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           288000    0.1558262E+01    0.3982552E-07    0.0000000E+00    0.0000000E+00    0.4973305E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           289000    0.1558262E+01    0.3859125E-07    0.0000000E+00    0.0000000E+00    0.4973313E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           290000    0.1558262E+01    0.3916934E-07    0.0000000E+00    0.0000000E+00    0.4973311E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           291000    0.1558262E+01    0.3903688E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           292000    0.1558262E+01    0.3935006E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           293000    0.1558262E+01    0.3922012E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           294000    0.1558262E+01    0.3913207E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           295000    0.1558262E+01    0.3908697E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           296000    0.1558262E+01    0.3834353E-07    0.0000000E+00    0.0000000E+00    0.4973306E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           297000    0.1558262E+01    0.3854455E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           298000    0.1558262E+01    0.3922566E-07    0.0000000E+00    0.0000000E+00    0.4973303E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           299000    0.1558262E+01    0.3932184E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           300000    0.1558262E+01    0.3889912E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           301000    0.1558262E+01    0.3898588E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           302000    0.1558262E+01    0.3891007E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           303000    0.1558262E+01    0.3943177E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           304000    0.1558262E+01    0.3962866E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           305000    0.1558262E+01    0.3977568E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           306000    0.1558262E+01    0.3967637E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           307000    0.1558262E+01    0.3970241E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           308000    0.1558262E+01    0.3965201E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           309000    0.1558262E+01    0.3967362E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           310000    0.1558262E+01    0.3975967E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           311000    0.1558262E+01    0.3988922E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           312000    0.1558262E+01    0.4002834E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           313000    0.1558262E+01    0.3997296E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           314000    0.1558262E+01    0.3951150E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           315000    0.1558262E+01    0.3916051E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           316000    0.1558262E+01    0.3902605E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           317000    0.1558262E+01    0.3901025E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           318000    0.1558262E+01    0.4087245E-07    0.0000000E+00    0.0000000E+00    0.4973306E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           319000    0.1558262E+01    0.4047409E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           320000    0.1558262E+01    0.4121732E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           321000    0.1558262E+01    0.4215008E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           322000    0.1558262E+01    0.4169915E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           323000    0.1558262E+01    0.4240225E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           324000    0.1558262E+01    0.4197841E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           325000    0.1558262E+01    0.4199989E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           326000    0.1558262E+01    0.4115537E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           327000    0.1558262E+01    0.4044830E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           328000    0.1558262E+01    0.4041418E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           329000    0.1558262E+01    0.4095651E-07    0.0000000E+00    0.0000000E+00    0.4973305E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           330000    0.1558262E+01    0.4117976E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           331000    0.1558262E+01    0.4166009E-07    0.0000000E+00    0.0000000E+00    0.4973303E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           332000    0.1558262E+01    0.4171339E-07    0.0000000E+00    0.0000000E+00    0.4973303E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           333000    0.1558262E+01    0.4181220E-07    0.0000000E+00    0.0000000E+00    0.4973303E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           334000    0.1558262E+01    0.4244008E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           335000    0.1558262E+01    0.4186246E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           336000    0.1558262E+01    0.4118093E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           337000    0.1558262E+01    0.4062827E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           338000    0.1558262E+01    0.4086717E-07    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           339000    0.1558262E+01    0.4018093E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           340000    0.1558262E+01    0.3996683E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           341000    0.1558262E+01    0.4035986E-07    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           342000    0.1558262E+01    0.4047016E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           343000    0.1558262E+01    0.3866179E-07    0.0000000E+00    0.0000000E+00    0.4973303E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           344000    0.1558262E+01    0.3918374E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           345000    0.1558262E+01    0.3901100E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           346000    0.1558262E+01    0.3732532E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           347000    0.1558262E+01    0.3722948E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           348000    0.1558262E+01    0.3358669E-07    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           349000    0.1558262E+01    0.3309182E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           350000    0.1558262E+01    0.3347599E-07    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           351000    0.1558262E+01    0.3412100E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           352000    0.1558262E+01    0.2780739E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           353000    0.1558262E+01    0.2048156E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           354000    0.1558262E+01    0.1758885E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           355000    0.1558262E+01    0.1736712E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           356000    0.1558262E+01    0.1761048E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           357000    0.1558262E+01    0.1763595E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           358000    0.1558262E+01    0.1727306E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           359000    0.1558262E+01    0.1676651E-07    0.0000000E+00    0.0000000E+00    0.4973301E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           360000    0.1558262E+01    0.1429212E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           361000    0.1558262E+01    0.1435021E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           362000    0.1558262E+01    0.1406351E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           363000    0.1558262E+01    0.1410755E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           364000    0.1558262E+01    0.1407971E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           365000    0.1558262E+01    0.1397861E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           366000    0.1558262E+01    0.1402756E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           367000    0.1558262E+01    0.1408599E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           368000    0.1558262E+01    0.1406455E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           369000    0.1558262E+01    0.1371224E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           370000    0.1558262E+01    0.1328363E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           371000    0.1558262E+01    0.1293885E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           372000    0.1558262E+01    0.1256335E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           373000    0.1558262E+01    0.1240793E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           374000    0.1558262E+01    0.1191492E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           375000    0.1558262E+01    0.1109261E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           376000    0.1558262E+01    0.1103912E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           377000    0.1558262E+01    0.1100981E-07    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           378000    0.1558262E+01    0.1106599E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           379000    0.1558262E+01    0.1121214E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           380000    0.1558262E+01    0.1109798E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           381000    0.1558262E+01    0.1117649E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           382000    0.1558262E+01    0.1117102E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           383000    0.1558262E+01    0.1114052E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           384000    0.1558262E+01    0.1110893E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           385000    0.1558262E+01    0.1117707E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           386000    0.1558262E+01    0.1114188E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           387000    0.1558262E+01    0.1106285E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           388000    0.1558262E+01    0.1101110E-07    0.0000000E+00    0.0000000E+00    0.4973295E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           389000    0.1558262E+01    0.1103449E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           390000    0.1558262E+01    0.1036418E-07    0.0000000E+00    0.0000000E+00    0.4973296E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           391000    0.1558262E+01    0.1038247E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           392000    0.1558262E+01    0.1064246E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           393000    0.1558262E+01    0.1059109E-07    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           394000    0.1558262E+01    0.1072011E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           395000    0.1558262E+01    0.1066804E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           396000    0.1558262E+01    0.1066996E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           397000    0.1558262E+01    0.1066413E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           398000    0.1558262E+01    0.1066192E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           399000    0.1558262E+01    0.1008582E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           400000    0.1558262E+01    0.1006119E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           401000    0.1558262E+01    0.1007991E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           402000    0.1558262E+01    0.1000987E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           403000    0.1558262E+01    0.9961454E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           404000    0.1558262E+01    0.9920689E-08    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           405000    0.1558262E+01    0.9923053E-08    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           406000    0.1558262E+01    0.9914899E-08    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           407000    0.1558262E+01    0.9819115E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           408000    0.1558262E+01    0.9611907E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           409000    0.1558262E+01    0.9548393E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           410000    0.1558262E+01    0.9489877E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           411000    0.1558262E+01    0.9464686E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           412000    0.1558262E+01    0.9379505E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           413000    0.1558262E+01    0.9170083E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           414000    0.1558262E+01    0.9041003E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           415000    0.1558262E+01    0.9054797E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           416000    0.1558262E+01    0.9065132E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           417000    0.1558262E+01    0.9065711E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           418000    0.1558262E+01    0.9073425E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           419000    0.1558262E+01    0.8967033E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           420000    0.1558262E+01    0.8948585E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           421000    0.1558262E+01    0.8917860E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           422000    0.1558262E+01    0.8752564E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           423000    0.1558262E+01    0.8655066E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           424000    0.1558262E+01    0.8637831E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           425000    0.1558262E+01    0.8538197E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           426000    0.1558262E+01    0.8456849E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           427000    0.1558262E+01    0.8381077E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
